FilePath,LineNumber,RecieverVaribale,Context,Label
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/Log.java,445,java.io.PrintStream,java.io.PrintStream println ERROR) ==  if { >=  if } printStackTrace {  catch,println
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/AwtRunnableQueue.java,109,java.util.LinkedList,java.util.LinkedList isEmpty  if {  synchronized { else RunRequestsInAWTThread ThreadUtilities.runInDispatchThreadAndWait  if,isEmpty
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/StandardUtilities.java,570,java.lang.StringBuilder,java.lang.StringBuilder append append append append append append append append else append  if '|': case break append,append
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/PropertiesBean.java,258,java.lang.Integer,java.lang.Integer class || _class == .TYPE)   _ret=.valueOf _ret= Integer.TYPE) == _class || Integer.class ==  if else _ret=Float.valueOf Float.TYPE) == _class || Float.class ==  if else _ret=Double.valueOf Double.TYPE) == _class || Double.class ==  if else _ret=Character.valueOf Character.TYPE) == _class || Character.class ==  if else _ret=Boolean.valueOf Boolean.TYPE) == _class || Boolean.class ==  if,valueOf
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/HtmlUtilities.java,98,java.lang.StringBuilder,java.lang.StringBuilder append append append append  if append  if getFont append !=  if getBackgroundColor,append
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/Log.java,456,java.lang.System,java.lang.System currentTimeMillis currentTimeMillis Toolkit.getDefaultToolkit { 1000) > -  if currentTimeMillis long {  if,currentTimeMillis
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/Log.java,310,java.lang.Class,java.lang.Class getName _source= { ==  if _source=Thread.currentThread { ==  if _source String,getName
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/IOUtilities.java,56,java.io.File,java.io.File exists &&  if boolean,canWrite
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/SyntaxUtilities.java,57,java.lang.Integer,java.lang.Integer toHexString String,toHexString
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/StandardUtilities.java,593,java.lang.StringBuilder,java.lang.StringBuilder append append append append append append append append append append append append append append append append : default break append else },append
/home/khaledkucse/Project/java/IntellIJSourceCodeAnalysis/[Assignment]MachineLearningCMPT470/./data/repository/jEdit/org/gjt/sp/util/SyntaxUtilities.java,71,java.lang.String,java.lang.String charAt trim length  if trim return 0) == length || null ==  if,charAt
